id,session_id,timestamp,content,embedding,relevance_score,expires_at
0aa86c152345434388b5fff544def162,session_20260526_153341,2026-05-26T18:33:43.914911+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T18:33:43.914911+00:00
6683a248c24744baabc908ea0d25cf28,session_20260526_171531,2026-05-26T20:17:04.415484+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T20:17:04.415484+00:00
d2a61fbb53c74998be4ce6488b50e923,session_20260526_180140,2026-05-26T21:01:40.282614+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T21:01:40.282614+00:00
d30ad6bdadda4146860f72777006c488,session_20260526_180231,2026-05-26T21:02:31.432168+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T21:02:31.432168+00:00
a18e7143557943728aed8d359829431c,session_20260526_180342,2026-05-26T21:03:42.907993+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T21:03:42.907993+00:00
4f5a42d8916c4aa1b83c6e6568d3b045,session_20260526_180405,2026-05-26T21:04:06.724788+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-27T21:04:06.724788+00:00
f8df6e623d964260ab664c7a91d8c443,session_20260527_173001,2026-05-27T20:30:02.557655+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-28T20:30:02.557655+00:00
cbcc61f08fa94200af14a1cfaa4c8f5b,session_20260528_093821,2026-05-28T12:38:22.163470+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-29T12:38:22.163470+00:00
d55be30e145d4ddd92364e397e4e84e0,session_20260528_134004,2026-05-28T16:40:05.364774+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-29T16:40:05.364774+00:00
3df3c106ed024b46a29c5ef2ea4a1efb,session_20260528_150912,2026-05-28T18:09:12.985360+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-29T18:09:12.985360+00:00
4706dcc0bf684c2298da012e53257aed,session_20260528_150933,2026-05-28T18:09:33.520925+00:00,"{""event"": ""engine_start"", ""version"": ""0.1.0"", ""agents"": {""context-manager"": ""ready"", ""task-coordinator"": ""ready"", ""insight-generator"": ""ready"", ""reminder-system"": ""ready"", ""report-generator"": ""ready"", ""knowledge-indexer"": ""ready"", ""mcp-agent"": ""ready"", ""github-agent"": ""ready""}}",,1.0,2026-05-29T18:09:33.520925+00:00
