id,company_id,job_title,job_url,job_description,salary_range,location,remote,status,applied_date,notes,created_at,updated_at
app_company_cidadao_pro_mundo_gestor_de_operacoes_e_expansao,company_cidadao_pro_mundo,Pessoa Gestora de Operações e Expansão,,"Posição-chave para organizar processos, conectar áreas e tirar do papel projetos que sustentam o crescimento da CPM. Responsabilidades: liderar expansão (abertura de novas unidades + migração de espaços), gerenciar ciclo semestral (2.000+ alunos, 1.300+ voluntários), coordenar rede de prestadores e lideranças voluntárias, desenvolver parcerias, acompanhar indicadores. Requisitos: 5+ anos em Operações, CRM, Google Workspace, automação, inglês avançado, ensino superior completo. Diferenciais: educação/terceiro setor, projetos escaláveis. PJ | 100% remoto | encontros SP/RJ.",,Remoto (encontros eventuais SP/RJ),1,interview,2026-06-08,Candidatura enviada por email até 08/05. Entrevista agendada para 08/06/2026 às 15:00.,2026-06-08 17:12:04,2026-06-08 17:12:04
app_company_acme_corp_senior_software_engineer,company_acme_corp,Senior Software Engineer,https://acme.com/careers/senior-engineer,Full-stack role working on the core platform team.,$180k-$220k,"San Francisco, CA",1,applied,2026-05-15,"Referred by John from the meetup.

## Research Notes

Acme Corp is an enterprise SaaS company focused on workflow automation.
They recently raised a Series C and are expanding the engineering team.

## Follow-ups
- [ ] Send thank-you note to Sarah after phone screen
- [ ] Review their tech blog for system design discussion
- [ ] Ask John about team culture",2026-06-09T08:05:25.680388+00:00,2026-06-09T08:05:25.680388+00:00
app_company_alignerr_job_opportunity,company_alignerr,Job Opportunity,https://www.linkedin.com/jobs/view/4389041589,,,,0,saved,,"Imported from WhatsApp chat on 2026-03-31. Sent by Tams Braga.

## Message Context

> Confira esta vaga na Alignerr:
https://www.linkedin.com/jobs/view/4389041589

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-03-31
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4389041589
- **Final URL:** https://www.linkedin.com/jobs/view/4389041589",2026-06-09T08:05:25.691245+00:00,2026-06-09T08:05:25.691245+00:00
app_company_bairesdev_job_opportunity,company_bairesdev,Job Opportunity,https://www.linkedin.com/jobs/view/4385244266,,,,0,saved,,"Imported from WhatsApp chat on 2026-03-18. Sent by Tams Braga.

## Message Context

> Confira esta vaga na BairesDev:
https://www.linkedin.com/jobs/view/4385244266

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-03-18
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4385244266
- **Final URL:** https://www.linkedin.com/jobs/view/4385244266",2026-06-09T08:05:25.696346+00:00,2026-06-09T08:05:25.696346+00:00
app_company_cactus_communications_job_opportunity,company_cactus_communications,Job Opportunity,https://www.linkedin.com/jobs/view/4372494409,,,,0,saved,,"Imported from WhatsApp chat on 2026-03-18. Sent by Tams Braga.

## Message Context

> Confira esta vaga na Cactus Communications:
https://www.linkedin.com/jobs/view/4372494409

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-03-18
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4372494409
- **Final URL:** https://www.linkedin.com/jobs/view/4372494409",2026-06-09T08:05:25.700056+00:00,2026-06-09T08:05:25.700056+00:00
app_company_clara_job_opportunity,company_clara,Job Opportunity,https://www.linkedin.com/jobs/view/4382147930,,,,0,saved,,"Imported from WhatsApp chat on 2026-04-07. Sent by Tams Braga.

## Message Context

> Confira esta vaga na Clara:
https://www.linkedin.com/jobs/view/4382147930

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-04-07
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4382147930
- **Final URL:** https://www.linkedin.com/jobs/view/4382147930",2026-06-09T08:05:25.705528+00:00,2026-06-09T08:05:25.705528+00:00
app_company_convenia_job_opportunity,company_convenia,Job Opportunity,https://www.linkedin.com/jobs/view/4388405142,,,,0,saved,,"Imported from WhatsApp chat on 2026-03-31. Sent by Tams Braga.

## Message Context

> Confira esta vaga na Convenia:
https://www.linkedin.com/jobs/view/4388405142

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-03-31
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4388405142
- **Final URL:** https://www.linkedin.com/jobs/view/4388405142",2026-06-09T08:05:25.706358+00:00,2026-06-09T08:05:25.706358+00:00
app_company_dot_digital_group_job_opportunity,company_dot_digital_group,Job Opportunity,https://www.linkedin.com/jobs/view/4383281358,,,,0,saved,,"Imported from WhatsApp chat on 2026-04-06. Sent by Tams Braga.

## Message Context

> Confira esta vaga na DOT Digital Group:
https://www.linkedin.com/jobs/view/4383281358

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-04-06
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4383281358
- **Final URL:** https://www.linkedin.com/jobs/view/4383281358",2026-06-09T08:05:25.709474+00:00,2026-06-09T08:05:25.709474+00:00
app_company_grupo_boticário_job_opportunity,company_grupo_boticário,Job Opportunity,https://www.linkedin.com/jobs/view/4397473116,,,,0,saved,,"Imported from WhatsApp chat on 2026-04-04. Sent by Tams Braga.

## Message Context

> Confira esta vaga na Grupo Boticário:
https://www.linkedin.com/jobs/view/4397473116

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-04-04
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4397473116
- **Final URL:** https://www.linkedin.com/jobs/view/4397473116",2026-06-09T08:05:25.722005+00:00,2026-06-09T08:05:25.722005+00:00
app_company_360dialog_onboarding_specialist_|_remote,company_360dialog,Onboarding Specialist | Remote,https://www.linkedin.com/jobs/view/4389233386,,,,0,saved,,"Imported from WhatsApp chat on 2026-03-31. Sent by Tams Braga.

## Message Context

> Confira esta vaga na 360Dialog: Onboarding Specialist | Remote https://www.linkedin.com/jobs/view/4389233386

## Source

- **Imported from:** WhatsApp chat export
- **Date shared:** 2026-03-31
- **Sent by:** Tams Braga
- **Original URL:** https://www.linkedin.com/jobs/view/4389233386
- **Final URL:** https://www.linkedin.com/jobs/view/4389233386",2026-06-12T05:19:47.220970+00:00,2026-06-12T05:19:47.220970+00:00
